quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,geometry,index_right,id,fid
1322320220123331,99952,36107,5,15,9,"POLYGON ((101.508178710938 3.34892158956994, 101.513671875 3.34892158956994, 101.513671875 3.34343779082443, 101.508178710938 3.34343779082443, 101.508178710938 3.34892158956994))",0,br730dc4071.1,0
1322320220123333,132464,55631,5,73,29,"POLYGON ((101.508178710938 3.34343779082443, 101.513671875 3.34343779082443, 101.513671875 3.33795396141648, 101.508178710938 3.33795396141648, 101.508178710938 3.34343779082443))",0,br730dc4071.1,0
1322320220132220,62481,31728,4,6,2,"POLYGON ((101.513671875 3.34892158956994, 101.519165039062 3.34892158956994, 101.519165039062 3.34343779082443, 101.513671875 3.34343779082443, 101.513671875 3.34892158956994))",0,br730dc4071.1,0
1322320220132221,123591,56780,6,144,10,"POLYGON ((101.519165039062 3.34892158956994, 101.524658203125 3.34892158956994, 101.524658203125 3.34343779082443, 101.519165039062 3.34343779082443, 101.519165039062 3.34892158956994))",0,br730dc4071.1,0
1322320220132222,162703,58113,7,223,47,"POLYGON ((101.513671875 3.34343779082443, 101.519165039062 3.34343779082443, 101.519165039062 3.33795396141648, 101.513671875 3.33795396141648, 101.513671875 3.34343779082443))",0,br730dc4071.1,0
1322320220132223,73352,42402,9,51,13,"POLYGON ((101.519165039062 3.34343779082443, 101.524658203125 3.34343779082443, 101.524658203125 3.33795396141648, 101.519165039062 3.33795396141648, 101.519165039062 3.34343779082443))",0,br730dc4071.1,0
1322320220132230,153977,50020,6,5,3,"POLYGON ((101.524658203125 3.34892158956994, 101.530151367188 3.34892158956994, 101.530151367188 3.34343779082443, 101.524658203125 3.34343779082443, 101.524658203125 3.34892158956994))",0,br730dc4071.1,0
1322320220132232,116124,50504,5,176,55,"POLYGON ((101.524658203125 3.34343779082443, 101.530151367188 3.34343779082443, 101.530151367188 3.33795396141648, 101.524658203125 3.33795396141648, 101.524658203125 3.34343779082443))",0,br730dc4071.1,0
1322320220132233,108334,52188,7,60,25,"POLYGON ((101.530151367188 3.34343779082443, 101.53564453125 3.34343779082443, 101.53564453125 3.33795396141648, 101.530151367188 3.33795396141648, 101.530151367188 3.34343779082443))",0,br730dc4071.1,0
1322320220132322,125695,60229,6,91,31,"POLYGON ((101.53564453125 3.34343779082443, 101.541137695312 3.34343779082443, 101.541137695312 3.33795396141648, 101.53564453125 3.33795396141648, 101.53564453125 3.34343779082443))",0,br730dc4071.1,0
1322320220132333,38748,24648,4,2,2,"POLYGON ((101.552124023438 3.34343779082443, 101.5576171875 3.34343779082443, 101.5576171875 3.33795396141648, 101.552124023438 3.33795396141648, 101.552124023438 3.34343779082443))",0,br730dc4071.1,0
1322320220133220,128228,41852,6,23,9,"POLYGON ((101.5576171875 3.34892158956994, 101.563110351562 3.34892158956994, 101.563110351562 3.34343779082443, 101.5576171875 3.34343779082443, 101.5576171875 3.34892158956994))",0,br730dc4071.1,0
1322320220133222,124995,43462,5,106,29,"POLYGON ((101.5576171875 3.34343779082443, 101.563110351562 3.34343779082443, 101.563110351562 3.33795396141648, 101.5576171875 3.33795396141648, 101.5576171875 3.34343779082443))",0,br730dc4071.1,0
1322320220133223,29885,11680,3,1,1,"POLYGON ((101.563110351562 3.34343779082443, 101.568603515625 3.34343779082443, 101.568603515625 3.33795396141648, 101.563110351562 3.33795396141648, 101.563110351562 3.34343779082443))",0,br730dc4071.1,0
1322320220133323,317063,156710,6,14,3,"POLYGON ((101.585083007812 3.34343779082443, 101.590576171875 3.34343779082443, 101.590576171875 3.33795396141648, 101.585083007812 3.33795396141648, 101.585083007812 3.34343779082443))",0,br730dc4071.1,0
1322320220223230,27171,58401,5,1,1,"POLYGON ((101.304931640625 3.17342506950794, 101.310424804688 3.17342506950794, 101.310424804688 3.16794031440275, 101.304931640625 3.16794031440275, 101.304931640625 3.17342506950794))",0,br730dc4071.1,0
1322320220223231,26769,10578,9,1,1,"POLYGON ((101.310424804688 3.17342506950794, 101.31591796875 3.17342506950794, 101.31591796875 3.16794031440275, 101.310424804688 3.16794031440275, 101.310424804688 3.17342506950794))",0,br730dc4071.1,0
1322320220223320,37333,26103,15,3,2,"POLYGON ((101.31591796875 3.17342506950794, 101.321411132812 3.17342506950794, 101.321411132812 3.16794031440275, 101.31591796875 3.16794031440275, 101.31591796875 3.17342506950794))",0,br730dc4071.1,0
1322320220223321,26512,29307,6,2,2,"POLYGON ((101.321411132812 3.17342506950794, 101.326904296875 3.17342506950794, 101.326904296875 3.16794031440275, 101.321411132812 3.16794031440275, 101.321411132812 3.17342506950794))",0,br730dc4071.1,0
1322320220223322,182595,29571,18,2,2,"POLYGON ((101.31591796875 3.16794031440275, 101.321411132812 3.16794031440275, 101.321411132812 3.16245553023785, 101.31591796875 3.16245553023785, 101.31591796875 3.16794031440275))",0,br730dc4071.1,0
1322320220223323,66750,65303,12,8,2,"POLYGON ((101.321411132812 3.16794031440275, 101.326904296875 3.16794031440275, 101.326904296875 3.16245553023785, 101.321411132812 3.16245553023785, 101.321411132812 3.16794031440275))",0,br730dc4071.1,0
1322320220233031,23872,10842,4,4,2,"POLYGON ((101.398315429688 3.1953637983294, 101.40380859375 3.1953637983294, 101.40380859375 3.18987915996414, 101.398315429688 3.18987915996414, 101.398315429688 3.1953637983294))",0,br730dc4071.1,0
1322320220233122,35694,39290,5,3,2,"POLYGON ((101.40380859375 3.18987915996414, 101.409301757812 3.18987915996414, 101.409301757812 3.18439449233874, 101.40380859375 3.18439449233874, 101.40380859375 3.18987915996414))",0,br730dc4071.1,0
1322320220233132,113725,52657,5,2,1,"POLYGON ((101.414794921875 3.18987915996414, 101.420288085938 3.18987915996414, 101.420288085938 3.18439449233874, 101.414794921875 3.18439449233874, 101.414794921875 3.18987915996414))",0,br730dc4071.1,0
1322320220233133,60714,31890,6,2,2,"POLYGON ((101.420288085938 3.18987915996414, 101.42578125 3.18987915996414, 101.42578125 3.18439449233874, 101.420288085938 3.18439449233874, 101.420288085938 3.18987915996414))",0,br730dc4071.1,0
1322320220233203,282657,102563,5,2,1,"POLYGON ((101.387329101562 3.1789097955033, 101.392822265625 3.1789097955033, 101.392822265625 3.17342506950794, 101.387329101562 3.17342506950794, 101.387329101562 3.1789097955033))",0,br730dc4071.1,0
1322320220233211,119190,54693,5,1,1,"POLYGON ((101.398315429688 3.18439449233874, 101.40380859375 3.18439449233874, 101.40380859375 3.1789097955033, 101.398315429688 3.1789097955033, 101.398315429688 3.18439449233874))",0,br730dc4071.1,0
1322320220233212,331874,100986,5,5,2,"POLYGON ((101.392822265625 3.1789097955033, 101.398315429688 3.1789097955033, 101.398315429688 3.17342506950794, 101.392822265625 3.17342506950794, 101.392822265625 3.1789097955033))",0,br730dc4071.1,0
1322320220233221,255472,70815,4,6,4,"POLYGON ((101.387329101562 3.17342506950794, 101.392822265625 3.17342506950794, 101.392822265625 3.16794031440275, 101.387329101562 3.16794031440275, 101.387329101562 3.17342506950794))",0,br730dc4071.1,0
1322320220233230,197904,66857,6,6,3,"POLYGON ((101.392822265625 3.17342506950794, 101.398315429688 3.17342506950794, 101.398315429688 3.16794031440275, 101.392822265625 3.16794031440275, 101.392822265625 3.17342506950794))",0,br730dc4071.1,0
